Mass,C,H,O,N,C13,S,P,Error,NeutralMass,MolForm,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,kmass,kdefect
213.0153172,7,6,6,2,0,0,0,-0.035954574,214.0225936,C7H6N2O6,0.8571428571428571,0.8571428571428571,0.2857142857142857,0,NA,212.77746239382404,0.22253760617596186
213.0404694,9,10,6,0,0,0,0,-0.036403711,214.0477458,C9H10O6,0.6666666666666666,1.1111111111111112,0,0,NA,212.80258650865284,0.19741349134716302
213.0768736,10,14,5,0,0,0,0,-0.123611192,214.08415,C10H14O5,0.5,1.4,0,0,NA,212.8389500593979,0.16104994060211197
213.1132772,11,18,4,0,0,0,0,-0.208006385,214.1205536,C11H18O4,0.36363636363636365,1.6363636363636365,0,0,NA,212.8753130108129,0.1246869891870972
213.1496368,12,22,3,0,0,0,0,-0.087330989,214.1569133,C12H22O3,0.25,1.8333333333333333,0,0,NA,212.9116320113587,0.08836798864129491
213.1860062,13,26,2,0,0,0,0,-0.011848802,214.1932826,C13H26O2,0.15384615384615385,2,0,0,NA,212.94796080096177,0.05203919903823362
214.0357107,8,9,6,1,0,0,0,-5.76993e-4,215.0429871,C8H9NO6,0.75,1.125,0.125,0,NA,213.79671651332617,0.20328348667382556
214.1448821,11,21,3,1,0,0,0,-0.069736064,215.1521585,C11H21NO3,0.2727272727272727,1.9090909090909092,0.09090909090909091,0,NA,213.90576601156562,0.09423398843438235
214.9299592,7,4,2,0,0,3,0,0.480412633,215.9372356,C7H4O2S3,0.2857142857142857,0.5714285714285714,0,0,NA,214.68996648746224,0.3100335125377569
214.9590084,6,4,3,2,0,2,0,0.218417579,215.9662848,C6H4N2O3S2,0.5,0.6666666666666666,0.3333333333333333,0,NA,214.71898325086596,0.2810167491340394
215.0197353,8,8,7,0,0,0,0,-0.042367567,216.0270118,C8H8O7,0.875,1,0,0,NA,214.77964234266693,0.2203576573330679
215.0328059,0,0,0,0,0,0,0,0,216.0400823,NA,NA,NA,NA,NA,NA,214.79269834791822,0.20730165208178164
215.0560758,9,12,6,0,0,0,0,0.165889904,216.0633523,C9H12O6,0.6666666666666666,1.3333333333333333,0,0,NA,214.81594226453998,0.1840577354600157
215.0925001,10,16,5,0,0,0,0,-0.013765057,216.0997766,C10H16O5,0.5,1.6,0,0,NA,214.8523258928412,0.14767410715879237
215.1288864,11,20,4,0,0,0,0,-0.017009264,216.1361628,C11H20O4,0.36363636363636365,1.8181818181818181,0,0,NA,214.88867156357355,0.1113284364264473
215.165274,12,24,3,0,0,0,0,-0.027140568,216.1725505,C12H24O3,0.25,2,0,0,NA,214.92501853285435,0.07498146714564768
215.1653898,0,0,0,0,0,0,0,0,216.1726662,NA,NA,NA,NA,NA,NA,214.92513420355104,0.07486579644896096
216.0361732,0,0,0,0,0,0,0,0,217.0434496,NA,NA,NA,NA,NA,NA,215.79494527902736,0.20505472097264033
216.0513542,8,11,6,1,0,0,0,0.029476654,217.0586307,C8H11NO6,0.75,1.375,0.125,0,NA,215.81010932778713,0.1898906722128686
216.2825003,0,0,0,0,0,0,0,0,217.2897767,NA,NA,NA,NA,NA,NA,216.04099732798693,0.9590026720130709
216.9189061,0,0,0,0,0,0,0,0,217.9261826,NA,NA,NA,NA,NA,NA,216.67669251158523,0.32330748841476975
216.9284846,0,0,0,0,0,0,0,0,217.9357611,NA,NA,NA,NA,NA,NA,216.6862603161466,0.313739683853413
217.0142292,11,6,5,0,0,0,0,0.080792068,218.0215057,C11H6O5,0.45454545454545453,0.5454545454545454,0,0,NA,216.7719091729602,0.2280908270398072
